ID,Day,Month,Year,Type,Gender
2018B0000467,1,1,2018,0,0
2018B0000469,1,1,2018,0,1
2018B0000470,1,1,2018,0,1
2018B0000471,1,1,2018,0,0
2018B0000474,1,1,2018,0,0
2018B0000475,1,1,2018,0,1
2018B0000501,1,1,2018,0,1
2018B0000503,1,1,2018,0,1
2018B0000526,1,1,2018,0,0
2018B0000527,1,1,2018,0,1
2018B0000530,1,1,2018,0,0
2018B0000541,1,1,2018,0,0
2018B0000557,1,1,2018,0,0
2018B0000558,1,1,2018,0,1
2018B0000582,1,1,2018,0,0
2018B0000586,1,1,2018,0,1
2018B0000591,1,1,2018,0,1
2018B0000596,1,1,2018,0,1
2018B0000635,1,1,2018,0,1
2018B0000637,1,1,2018,0,0
2018B0000638,1,1,2018,0,1
2018B0000641,1,1,2018,0,0
2018B0000648,1,1,2018,0,0
2018B0000645,1,1,2018,0,1
2018B0000686,1,1,2018,0,0
2018B0000687,1,1,2018,0,0
2018B0000683,1,1,2018,0,0
2018B0000684,1,1,2018,0,1
2018B0000700,1,1,2018,0,1
2018B0000703,1,1,2018,0,0
2018B0000706,1,1,2018,0,0
2018B0000707,1,1,2018,0,0
2018B0000746,1,1,2018,0,1
2018B0000748,1,1,2018,0,1
2018B0000749,1,1,2018,0,0
2018B0000750,1,1,2018,0,1
2018B0000751,1,1,2018,0,0
2018B0000813,1,1,2018,0,0
2018B0000815,1,1,2018,0,1
2018B0000817,1,1,2018,0,1
2018B0000819,1,1,2018,0,0
2018B0001781,1,1,2018,0,0
2018B0001782,1,1,2018,0,1
2018B0001801,1,1,2018,0,0
2018B0001890,1,1,2018,0,1
2018B0001896,1,1,2018,0,1
2018B0001900,1,1,2018,0,1
2018B0001902,1,1,2018,0,1
2018B0000836,1,1,2018,0,0
2018B0000869,1,1,2018,0,0
2018B0000870,1,1,2018,0,0
2018B0000871,1,1,2018,0,1
2018B0000876,1,1,2018,0,1
2018B0000882,1,1,2018,0,0
2018B0000884,1,1,2018,0,1
2018B0000892,1,1,2018,0,0
2018B0000895,1,1,2018,0,0
2018B0000897,1,1,2018,0,0
2018B0000899,1,1,2018,0,0
2018B0000901,1,1,2018,0,1
2018B0000903,1,1,2018,0,0
2018B0000904,1,1,2018,0,0
2018B0000905,1,1,2018,0,0
2018B0000906,1,1,2018,0,0
2018B0000907,1,1,2018,0,0
2018B0000886,1,1,2018,0,1
2018B0000909,1,1,2018,0,0
2018B0000911,1,1,2018,0,0
2018B0000913,1,1,2018,0,0
2018B0000915,1,1,2018,0,0
2018B0000918,1,1,2018,0,0
2018B0000920,1,1,2018,0,1
2018B0000921,1,1,2018,0,0
2018B0000922,1,1,2018,0,1
2018B0000923,1,1,2018,0,1
2018B0000931,1,1,2018,0,0
2018B0000955,1,1,2018,0,1
2018B0000925,1,1,2018,0,0
2018B0000926,1,1,2018,0,0
2018B0000927,1,1,2018,0,1
2018B0000974,1,1,2018,0,0
2018B0000929,1,1,2018,0,0
2018B0001047,1,1,2018,0,1
2018B0001060,1,1,2018,0,0
2018B0001913,1,1,2018,0,0
2018B0000284,1,1,2018,0,1
2018B0000008,1,1,2018,0,1
2018B0000183,1,1,2018,0,1
2018B0000421,1,1,2018,0,0
2018B0000444,1,1,2018,0,0
2018B0000447,1,1,2018,0,0
2018B0000448,1,1,2018,0,1
2018B0000449,1,1,2018,0,1
2018B0000434,1,1,2018,0,0
2018B0000435,1,1,2018,0,0
2018B0000437,1,1,2018,0,1
2018B0001140,1,1,2018,0,0
2018B0001141,1,1,2018,0,1
2018B0001144,1,1,2018,0,1
2018B0001164,1,1,2018,0,0
2018B0001182,1,1,2018,0,1
2018B0001184,1,1,2018,0,1
2018B0001195,1,1,2018,0,1
2018B0001197,1,1,2018,0,0
2018B0001270,1,1,2018,0,0
