ID,Day,Month,Year,Type,Gender
2012B0000063,1,1,2012,0,0
2012B0000064,1,1,2012,0,0
2012B0000065,1,1,2012,0,0
2012B0000066,1,1,2012,0,1
2012B0000067,1,1,2012,0,1
2012B0000068,1,1,2012,0,0
2012B0000069,1,1,2012,0,1
2012B0000120,1,1,2012,0,0
2012B0000148,1,1,2012,0,0
2012B0000179,1,1,2012,0,0
2012B0000202,1,1,2012,0,1
2012B0000205,1,1,2012,0,0
2012B0000206,1,1,2012,0,0
2012B0000378,1,1,2012,0,0
2012B0000379,1,1,2012,0,1
2012B0000380,1,1,2012,0,1
2012B0000382,1,1,2012,0,1
2012B0000384,1,1,2012,0,1
2012B0000385,1,1,2012,0,1
2012B0000387,1,1,2012,0,0
2012B0000389,1,1,2012,0,0
2012B0000391,1,1,2012,0,0
2012B0000392,1,1,2012,0,1
2012B0000394,1,1,2012,0,0
2012B0000396,1,1,2012,0,0
2012B0000398,1,1,2012,0,0
2012B0000400,1,1,2012,0,1
2012B0000402,1,1,2012,0,0
2012B0000404,1,1,2012,0,0
2012B0000405,1,1,2012,0,0
2012B0000406,1,1,2012,0,0
2012B0000407,1,1,2012,0,0
2012B0000408,1,1,2012,0,1
2012B0000415,1,1,2012,0,1
2012B0000451,1,1,2012,0,0
2012B0000359,1,1,2012,0,0
2012B0000370,1,1,2012,0,0
2012B0000495,1,1,2012,0,1
2012B0000518,1,1,2012,0,1
2012B0000483,1,1,2012,0,0
2012B0000550,1,1,2012,0,0
2012B0000558,1,1,2012,0,0
2012B0000565,1,1,2012,0,1
2012B0000593,1,1,2012,0,1
2012B0000626,1,1,2012,0,1
2012B0000628,1,1,2012,0,0
2012B0000727,1,1,2012,0,1
2012B0000729,1,1,2012,0,1
2012B0000731,1,1,2012,0,0
2012B0000732,1,1,2012,0,1
2012B0000733,1,1,2012,0,0
2012B0000736,1,1,2012,0,1
2012B0000746,1,1,2012,0,0
2012B0000801,1,1,2012,0,1
2012B0000807,1,1,2012,0,0
2012B0000793,1,1,2012,0,0
2012B0000818,1,1,2012,0,0
2012B0000921,1,1,2012,0,0
2012B0000928,1,1,2012,0,1
2012B0000944,1,1,2012,0,0
2012B0000947,1,1,2012,0,0
2012B0000963,1,1,2012,0,0
2012B0000971,1,1,2012,0,1
2012B0000989,1,1,2012,0,1
2012B0000993,1,1,2012,0,1
2012B0000999,1,1,2012,0,0
2012B0001006,1,1,2012,0,1
2012B0001011,1,1,2012,0,1
2012B0001015,1,1,2012,0,0
2012B0001034,1,1,2012,0,1
2012B0001054,1,1,2012,0,0
2012B0003567,1,1,2012,0,1
2012B0003858,1,1,2012,0,0
2012B0003861,1,1,2012,0,1
2012B0004045,1,1,2012,0,0
2012B0004050,1,1,2012,0,0
2012B0004053,1,1,2012,0,0
2012B0004303,1,1,2012,0,1
2012B0008949,1,1,2012,0,0
2012B0039631,1,1,2012,0,1
2012B0056727,1,1,2012,0,1
2012B0056731,1,1,2012,0,0
2012B0057027,1,1,2012,0,0
2012D0004423,1,1,2012,1,1
2012B0002363,1,1,2012,0,0
2012B0002366,1,1,2012,0,1
2012B0002368,1,1,2012,0,1
2012B0002373,1,1,2012,0,0
2012B0002415,1,1,2012,0,0
2012B0002429,1,1,2012,0,1
2012B0002430,1,1,2012,0,0
2012B0002431,1,1,2012,0,0
2012B0002432,1,1,2012,0,1
2012B0002422,1,1,2012,0,0
2012B0002492,1,1,2012,0,1
2012B0002493,1,1,2012,0,1
2012B0002500,1,1,2012,0,1
2012B0002506,1,1,2012,0,0
2012B0002503,1,1,2012,0,1
2012B0002606,1,1,2012,0,0
2012B0002609,1,1,2012,0,1
2012B0002668,1,1,2012,0,0
2012B0002671,1,1,2012,0,0
2012B0002730,1,1,2012,0,0
2012B0003037,1,1,2012,0,0
2012B0003039,1,1,2012,0,1
2012B0003042,1,1,2012,0,1
2012B0003403,1,1,2012,0,0
2012B0011137,1,1,2012,0,1
2012D0001072,1,1,2012,1,0
2012D0001928,1,1,2012,1,0
2012D0026282,1,1,2012,1,0
2012D0026327,1,1,2012,1,0
2012D0026527,1,1,2012,1,0
2012D0026692,1,1,2012,1,1
2012B0001082,1,1,2012,0,1
2012B0001086,1,1,2012,0,1
2012B0001103,1,1,2012,0,0
2012B0001113,1,1,2012,0,0
2012B0001116,1,1,2012,0,1
2012B0001144,1,1,2012,0,1
2012B0001147,1,1,2012,0,1
2012B0001152,1,1,2012,0,1
2012B0001177,1,1,2012,0,0
2012B0001247,1,1,2012,0,0
2012B0001250,1,1,2012,0,1
2012B0001291,1,1,2012,0,0
2012B0001296,1,1,2012,0,0
2012B0001299,1,1,2012,0,0
2012B0001340,1,1,2012,0,1
2012B0001474,1,1,2012,0,0
2012B0001475,1,1,2012,0,1
2012B0001489,1,1,2012,0,1
2012B0001512,1,1,2012,0,1
2012B0001524,1,1,2012,0,0
2012B0001722,1,1,2012,0,1
2012B0001762,1,1,2012,0,0
2012B0001793,1,1,2012,0,1
2012B0001808,1,1,2012,0,0
2012B0001820,1,1,2012,0,0
2012B0001821,1,1,2012,0,1
2012B0001905,1,1,2012,0,0
2012B0001907,1,1,2012,0,0
2012B0002000,1,1,2012,0,1
2012B0001993,1,1,2012,0,1
2012B0002088,1,1,2012,0,0
2012B0002164,1,1,2012,0,0
2012B0002308,1,1,2012,0,0
2012B0012675,1,1,2012,0,1
2011D0025428,1,1,2012,1,0
2012D0000001,1,1,2012,1,0
2012D0000002,1,1,2012,1,0
2012D0000016,1,1,2012,1,0
2012D0000023,1,1,2012,1,0
2012D0000041,1,1,2012,1,0
2012D0000050,1,1,2012,1,0
2012D0000054,1,1,2012,1,0
2012D0000060,1,1,2012,1,0
2012D0000061,1,1,2012,1,1
2012D0000062,1,1,2012,1,1
2012D0000063,1,1,2012,1,0
2012D0000065,1,1,2012,1,0
2012D0000092,1,1,2012,1,1
2012D0000093,1,1,2012,1,0
2012D0000094,1,1,2012,1,0
2012D0000095,1,1,2012,1,0
2012D0000096,1,1,2012,1,1
2012D0000097,1,1,2012,1,0
2012D0000098,1,1,2012,1,0
2012D0000099,1,1,2012,1,1
2012D0000100,1,1,2012,1,1
2012D0000102,1,1,2012,1,0
2012D0000103,1,1,2012,1,1
2012D0000105,1,1,2012,1,0
2012D0000107,1,1,2012,1,0
2012D0000108,1,1,2012,1,1
2012D0000109,1,1,2012,1,1
2012D0000110,1,1,2012,1,0
2012D0000111,1,1,2012,1,1
2012D0000112,1,1,2012,1,0
2012D0000113,1,1,2012,1,0
2012D0000114,1,1,2012,1,0
2012D0000115,1,1,2012,1,0
2012D0000116,1,1,2012,1,0
2012D0000117,1,1,2012,1,0
2012D0000118,1,1,2012,1,1
2012D0000119,1,1,2012,1,1
2012D0000120,1,1,2012,1,0
2012D0000121,1,1,2012,1,1
2012D0000122,1,1,2012,1,0
2012D0000123,1,1,2012,1,1
2012D0000124,1,1,2012,1,0
2012D0000076,1,1,2012,1,0
2012D0000078,1,1,2012,1,0
2012D0000079,1,1,2012,1,1
2012D0000081,1,1,2012,1,0
2012D0000082,1,1,2012,1,0
2012D0000083,1,1,2012,1,0
2012D0000084,1,1,2012,1,0
2012D0000085,1,1,2012,1,0
2012D0000070,1,1,2012,1,1
2012D0000071,1,1,2012,1,0
2012D0000073,1,1,2012,1,1
2012D0000056,1,1,2012,1,0
2012D0000087,1,1,2012,1,1
2012D0000090,1,1,2012,1,1
2012D0000148,1,1,2012,1,0
2012D0000149,1,1,2012,1,1
2012D0000150,1,1,2012,1,0
2012D0000151,1,1,2012,1,0
2012D0000152,1,1,2012,1,0
2012D0000153,1,1,2012,1,1
2012D0000178,1,1,2012,1,1
2012D0000179,1,1,2012,1,1
2012D0000184,1,1,2012,1,0
2012D0000175,1,1,2012,1,0
2012D0000228,1,1,2012,1,0
2012D0000234,1,1,2012,1,0
2012D0000237,1,1,2012,1,1
2012D0000240,1,1,2012,1,0
2012D0000251,1,1,2012,1,0
2012D0000504,1,1,2012,1,0
2012D0000530,1,1,2012,1,0
2012D0000588,1,1,2012,1,1
2012D0000657,1,1,2012,1,0
2012D0000659,1,1,2012,1,1
2012D0000705,1,1,2012,1,0
2012D0000763,1,1,2012,1,1
2012D0000765,1,1,2012,1,0
2012S0000001,1,1,2012,1,0
2012S0000002,1,1,2012,1,0
