ID,Day,Month,Year,Type,Gender
2016B0017552,1,1,2016,0,0
2016D0001310,1,1,2016,1,1
2016D0001312,1,1,2016,1,0
2016D0001313,1,1,2016,1,0
2016D0001344,1,1,2016,1,0
2016B0000174,1,1,2016,0,0
2016B0000175,1,1,2016,0,1
2016B0000176,1,1,2016,0,0
2016B0000177,1,1,2016,0,1
2016B0000178,1,1,2016,0,1
2016B0000179,1,1,2016,0,1
2016B0000180,1,1,2016,0,1
2016B0000181,1,1,2016,0,1
2016B0000199,1,1,2016,0,0
2016B0000200,1,1,2016,0,0
2016B0000228,1,1,2016,0,1
2016B0000230,1,1,2016,0,0
2016B0000232,1,1,2016,0,0
2016B0000236,1,1,2016,0,1
2016B0000251,1,1,2016,0,0
2016B0000253,1,1,2016,0,1
2016B0000255,1,1,2016,0,1
2016B0000260,1,1,2016,0,0
2016B0000261,1,1,2016,0,0
2016B0000267,1,1,2016,0,1
2016B0000270,1,1,2016,0,0
2016B0000286,1,1,2016,0,0
2016B0000320,1,1,2016,0,0
2016B0000324,1,1,2016,0,0
2016B0000326,1,1,2016,0,1
2016B0000257,1,1,2016,0,1
2016B0000331,1,1,2016,0,1
2016B0000339,1,1,2016,0,1
2016B0000340,1,1,2016,0,0
2016B0000336,1,1,2016,0,0
2016B0000389,1,1,2016,0,0
2016B0000469,1,1,2016,0,0
2016B0000470,1,1,2016,0,0
2016B0000476,1,1,2016,0,0
2016B0000497,1,1,2016,0,0
2016B0000523,1,1,2016,0,1
2016B0000525,1,1,2016,0,0
2016B0000527,1,1,2016,0,1
2016B0000528,1,1,2016,0,1
2016B0000554,1,1,2016,0,0
2016B0000555,1,1,2016,0,0
2016B0000570,1,1,2016,0,0
2016B0000572,1,1,2016,0,1
2016B0000574,1,1,2016,0,0
2016B0000579,1,1,2016,0,1
2016B0000518,1,1,2016,0,1
2016B0000520,1,1,2016,0,0
2016B0000664,1,1,2016,0,1
2016B0000670,1,1,2016,0,0
2016B0000671,1,1,2016,0,0
2016B0000672,1,1,2016,0,1
2016B0000677,1,1,2016,0,1
2016B0000686,1,1,2016,0,1
2016B0000687,1,1,2016,0,0
2016B0000692,1,1,2016,0,0
2016B0000711,1,1,2016,0,1
2016B0000745,1,1,2016,0,0
2016B0000757,1,1,2016,0,0
2016B0000869,1,1,2016,0,0
2016B0000870,1,1,2016,0,0
2016B0000871,1,1,2016,0,1
2016B0000872,1,1,2016,0,1
2016B0000850,1,1,2016,0,1
2016B0000911,1,1,2016,0,1
2016B0000913,1,1,2016,0,0
2016B0000918,1,1,2016,0,1
2016B0000922,1,1,2016,0,1
2016B0000924,1,1,2016,0,1
2016B0000925,1,1,2016,0,0
2016B0000929,1,1,2016,0,1
2016B0000933,1,1,2016,0,0
2016B0000936,1,1,2016,0,1
2016B0000889,1,1,2016,0,0
2016B0000905,1,1,2016,0,1
2016B0000941,1,1,2016,0,0
2016B0000944,1,1,2016,0,1
2016B0000945,1,1,2016,0,1
2016B0000947,1,1,2016,0,1
2016B0000975,1,1,2016,0,0
2016B0000979,1,1,2016,0,0
2016B0000983,1,1,2016,0,1
2016B0001025,1,1,2016,0,0
2016B0001026,1,1,2016,0,0
2016B0001027,1,1,2016,0,0
2016B0001033,1,1,2016,0,0
2016B0001153,1,1,2016,0,0
2016B0001156,1,1,2016,0,1
2016B0001160,1,1,2016,0,0
2016B0001165,1,1,2016,0,1
2016B0001171,1,1,2016,0,1
2016B0001181,1,1,2016,0,0
2016B0001185,1,1,2016,0,0
2016B0001188,1,1,2016,0,1
2016B0001192,1,1,2016,0,0
2016B0005458,1,1,2016,0,0
2016B0009351,1,1,2016,0,1
2016B0055915,1,1,2016,0,0
2016B0055917,1,1,2016,0,0
2016D0000351,1,1,2016,1,1
2016D0000362,1,1,2016,1,0
2016D0000460,1,1,2016,1,1
2016D0000482,1,1,2016,1,1
2016D0000484,1,1,2016,1,0
2016D0000485,1,1,2016,1,0
2016D0000486,1,1,2016,1,0
2016D0000542,1,1,2016,1,0
2016D0000558,1,1,2016,1,0
2016D0000569,1,1,2016,1,0
2016D0000573,1,1,2016,1,0
2016D0000609,1,1,2016,1,1
2016D0000610,1,1,2016,1,0
2016D0000611,1,1,2016,1,1
2016D0000632,1,1,2016,1,0
2016D0000646,1,1,2016,1,1
2016D0000656,1,1,2016,1,0
2016D0000659,1,1,2016,1,0
2016D0000668,1,1,2016,1,0
2016D0000674,1,1,2016,1,0
2016D0000694,1,1,2016,1,1
2016D0000719,1,1,2016,1,0
2016D0000720,1,1,2016,1,0
2016D0000721,1,1,2016,1,1
2016D0000778,1,1,2016,1,0
2016D0000780,1,1,2016,1,0
2016D0000781,1,1,2016,1,1
2016D0000786,1,1,2016,1,0
2016D0000987,1,1,2016,1,1
2016D0004097,1,1,2016,1,1
2016D0007186,1,1,2016,1,1
2016B0002352,1,1,2016,0,1
2016B0002354,1,1,2016,0,1
2016B0002481,1,1,2016,0,0
2016B0002660,1,1,2016,0,0
2016B0002663,1,1,2016,0,1
2016B0002668,1,1,2016,0,0
2016B0002723,1,1,2016,0,0
2016B0002724,1,1,2016,0,0
2016B0002744,1,1,2016,0,0
2016B0002745,1,1,2016,0,0
2016B0002746,1,1,2016,0,1
2016B0002747,1,1,2016,0,0
2016B0002748,1,1,2016,0,1
2016B0002749,1,1,2016,0,1
2016B0002750,1,1,2016,0,1
2016B0002739,1,1,2016,0,0
2016B0002740,1,1,2016,0,0
2016B0002741,1,1,2016,0,1
2016B0002742,1,1,2016,0,0
2016B0002777,1,1,2016,0,1
2016B0002778,1,1,2016,0,0
2016B0002779,1,1,2016,0,1
