ID,Day,Month,Year,Type,Gender
2017B0001985,1,1,2017,0,0
2017B0002139,1,1,2017,0,0
2017B0002141,1,1,2017,0,0
2017B0002155,1,1,2017,0,1
2017B0002169,1,1,2017,0,0
2017B0002160,1,1,2017,0,1
2017B0002227,1,1,2017,0,0
2017B0002250,1,1,2017,0,1
2017B0002592,1,1,2017,0,1
2017B0002848,1,1,2017,0,0
2017B0002852,1,1,2017,0,1
2017B0002854,1,1,2017,0,1
2017B0002858,1,1,2017,0,0
2017B0002860,1,1,2017,0,1
2017B0002862,1,1,2017,0,0
2017B0002864,1,1,2017,0,0
2017B0053348,1,1,2017,0,0
2017D0000689,1,1,2017,1,1
2017D0000690,1,1,2017,1,0
2017D0000691,1,1,2017,1,1
2017D0000825,1,1,2017,1,0
2017D0000848,1,1,2017,1,1
2017D0000851,1,1,2017,1,0
2017D0001296,1,1,2017,1,1
2017D0001297,1,1,2017,1,1
2017D0001393,1,1,2017,1,1
2017D0001394,1,1,2017,1,1
2017D0001395,1,1,2017,1,1
2017D0008514,1,1,2017,1,0
2017D0000006,1,1,2017,1,1
2017D0000044,1,1,2017,1,0
2017D0000045,1,1,2017,1,0
2017D0000046,1,1,2017,1,0
2017D0000047,1,1,2017,1,1
2017D0000049,1,1,2017,1,0
2017D0000050,1,1,2017,1,1
2017D0000051,1,1,2017,1,0
2017D0000052,1,1,2017,1,0
2017D0000053,1,1,2017,1,0
2017D0000063,1,1,2017,1,0
2017D0000071,1,1,2017,1,1
2017D0000072,1,1,2017,1,0
2017D0000079,1,1,2017,1,1
2017D0000080,1,1,2017,1,1
2017D0000089,1,1,2017,1,0
2017D0000090,1,1,2017,1,1
2017D0000091,1,1,2017,1,1
2017D0000092,1,1,2017,1,0
2017D0000055,1,1,2017,1,1
2017D0000115,1,1,2017,1,1
2017D0000124,1,1,2017,1,0
2017D0000125,1,1,2017,1,0
2017D0000126,1,1,2017,1,1
2017D0000160,1,1,2017,1,1
2017D0000163,1,1,2017,1,0
2017D0000164,1,1,2017,1,0
2017D0000165,1,1,2017,1,0
2017D0000166,1,1,2017,1,1
2017D0000016,1,1,2017,1,0
2017D0000153,1,1,2017,1,0
