ID,Day,Month,Year,Type,Gender
2011B0000320,1,1,2011,0,0
2011B0000322,1,1,2011,0,0
2011B0000323,1,1,2011,0,0
2011B0000446,1,1,2011,0,0
2011B0000452,1,1,2011,0,1
2011B0000453,1,1,2011,0,1
2011B0000456,1,1,2011,0,1
2011B0000457,1,1,2011,0,1
2011B0000458,1,1,2011,0,1
2011B0000475,1,1,2011,0,1
2011B0000476,1,1,2011,0,1
2011B0000477,1,1,2011,0,0
2011B0000479,1,1,2011,0,0
2011B0000483,1,1,2011,0,1
2011B0000347,1,1,2011,0,0
2011B0000350,1,1,2011,0,1
2011B0000352,1,1,2011,0,1
2011B0000357,1,1,2011,0,0
2011B0000360,1,1,2011,0,1
2011B0000339,1,1,2011,0,0
2011B0000403,1,1,2011,0,1
2011B0000405,1,1,2011,0,1
2011B0000418,1,1,2011,0,1
2011B0000567,1,1,2011,0,1
2011B0000570,1,1,2011,0,0
2011B0000580,1,1,2011,0,0
2011B0000615,1,1,2011,0,1
2011B0000618,1,1,2011,0,0
2011B0000654,1,1,2011,0,0
2011B0000700,1,1,2011,0,1
2011B0000721,1,1,2011,0,0
2011B0000743,1,1,2011,0,0
2011B0000745,1,1,2011,0,0
2011B0000751,1,1,2011,0,1
2011B0000771,1,1,2011,0,0
2011B0000773,1,1,2011,0,0
2011B0000775,1,1,2011,0,0
2011B0000784,1,1,2011,0,1
2011B0000785,1,1,2011,0,1
2011B0000868,1,1,2011,0,0
2011B0000827,1,1,2011,0,1
2011B0000881,1,1,2011,0,1
2011B0000884,1,1,2011,0,1
2011B0000886,1,1,2011,0,0
2011B0000889,1,1,2011,0,0
2011B0000910,1,1,2011,0,1
2011B0000913,1,1,2011,0,1
2011B0000915,1,1,2011,0,1
2011B0000916,1,1,2011,0,1
2011B0000918,1,1,2011,0,1
2011B0000920,1,1,2011,0,1
2011B0000921,1,1,2011,0,1
2011B0000929,1,1,2011,0,0
2011B0000924,1,1,2011,0,0
2011B0000926,1,1,2011,0,1
2011B0000935,1,1,2011,0,0
2011B0000937,1,1,2011,0,0
2011B0000940,1,1,2011,0,1
2011B0000942,1,1,2011,0,0
2011B0000945,1,1,2011,0,0
2011B0000947,1,1,2011,0,0
2011B0000986,1,1,2011,0,0
2011B0000988,1,1,2011,0,0
2011B0000990,1,1,2011,0,0
2011B0000991,1,1,2011,0,0
2011B0000992,1,1,2011,0,1
2011B0000993,1,1,2011,0,0
2011B0000994,1,1,2011,0,1
2011B0000996,1,1,2011,0,0
2011B0000997,1,1,2011,0,1
2011B0000956,1,1,2011,0,1
2011B0000972,1,1,2011,0,1
2011B0000982,1,1,2011,0,1
2011B0001011,1,1,2011,0,1
2011B0001012,1,1,2011,0,0
2011B0001019,1,1,2011,0,0
2011B0001024,1,1,2011,0,1
2011B0001027,1,1,2011,0,0
2011B0001078,1,1,2011,0,0
2011B0001099,1,1,2011,0,0
2011B0001103,1,1,2011,0,0
2011B0001104,1,1,2011,0,0
2011B0001107,1,1,2011,0,1
2011B0001112,1,1,2011,0,0
2011B0001113,1,1,2011,0,0
2011B0001117,1,1,2011,0,1
2011B0001123,1,1,2011,0,0
2011B0001125,1,1,2011,0,1
2011B0001128,1,1,2011,0,0
2011B0001130,1,1,2011,0,0
2011B0001132,1,1,2011,0,0
2011B0001133,1,1,2011,0,1
2011B0001134,1,1,2011,0,1
2011B0001139,1,1,2011,0,1
2011B0001140,1,1,2011,0,1
2011B0001143,1,1,2011,0,1
2011B0001144,1,1,2011,0,1
2011B0001137,1,1,2011,0,0
2011B0001146,1,1,2011,0,0
2011B0001147,1,1,2011,0,0
2011B0001149,1,1,2011,0,1
2011B0001151,1,1,2011,0,1
2011B0001153,1,1,2011,0,0
2011B0001154,1,1,2011,0,1
2011B0001157,1,1,2011,0,1
2011B0001167,1,1,2011,0,0
2011B0001170,1,1,2011,0,1
2011B0001177,1,1,2011,0,1
2011B0001304,1,1,2011,0,0
2011B0004673,1,1,2011,0,0
2011B0004741,1,1,2011,0,1
2011B0005127,1,1,2011,0,0
2011B0005131,1,1,2011,0,1
2011B0021190,1,1,2011,0,1
2011D0000008,1,1,2011,1,1
2011D0000009,1,1,2011,1,0
2011D0000010,1,1,2011,1,0
2011D0000011,1,1,2011,1,1
