ID,Day,Month,Year,Type,Gender
2014B0003920,1,1,2014,0,0
2014B0007535,1,1,2014,0,0
2014D0000011,1,1,2014,1,0
2014D0000012,1,1,2014,1,0
2014D0000013,1,1,2014,1,1
2014D0000014,1,1,2014,1,1
2014D0000015,1,1,2014,1,1
2014D0000016,1,1,2014,1,1
2014D0000017,1,1,2014,1,0
2014D0000018,1,1,2014,1,1
2014D0000019,1,1,2014,1,1
2014D0000021,1,1,2014,1,0
2014D0000022,1,1,2014,1,0
2014D0000023,1,1,2014,1,1
2014D0000024,1,1,2014,1,1
2014D0000025,1,1,2014,1,0
2014D0000026,1,1,2014,1,1
2014D0000027,1,1,2014,1,1
2014D0000028,1,1,2014,1,0
2014D0000029,1,1,2014,1,1
2014D0000030,1,1,2014,1,0
2014D0000031,1,1,2014,1,0
2014D0000032,1,1,2014,1,0
2014D0000033,1,1,2014,1,1
2014D0000034,1,1,2014,1,0
2014D0000035,1,1,2014,1,0
2014D0000036,1,1,2014,1,0
2014D0000037,1,1,2014,1,0
2014D0000038,1,1,2014,1,0
2014D0000039,1,1,2014,1,0
2014D0000040,1,1,2014,1,1
2014D0000043,1,1,2014,1,0
2014D0000045,1,1,2014,1,0
2014D0000046,1,1,2014,1,0
2014D0000047,1,1,2014,1,1
2014D0000048,1,1,2014,1,0
2014D0000049,1,1,2014,1,0
2014D0000001,1,1,2014,1,1
2014D0000005,1,1,2014,1,0
2014D0000093,1,1,2014,1,0
2014D0000217,1,1,2014,1,0
2014D0000218,1,1,2014,1,0
2014D0000220,1,1,2014,1,0
2014D0000221,1,1,2014,1,1
2014D0000228,1,1,2014,1,1
2014D0000229,1,1,2014,1,0
2014D0000230,1,1,2014,1,0
2014D0000231,1,1,2014,1,0
2014D0000189,1,1,2014,1,0
2014D0000265,1,1,2014,1,0
2014D0000283,1,1,2014,1,0
2014D0000294,1,1,2014,1,0
2014D0000306,1,1,2014,1,0
2014D0000336,1,1,2014,1,0
2014D0000364,1,1,2014,1,0
2014D0003041,1,1,2014,1,0
2014B0000692,1,1,2014,0,1
2014B0000694,1,1,2014,0,1
2014B0000771,1,1,2014,0,1
2014B0000782,1,1,2014,0,0
2014B0000780,1,1,2014,0,1
2014B0000822,1,1,2014,0,1
2014B0000875,1,1,2014,0,0
2014B0000913,1,1,2014,0,1
2014B0000937,1,1,2014,0,1
2014B0000940,1,1,2014,0,1
2014B0000959,1,1,2014,0,0
2014B0000962,1,1,2014,0,0
2014B0000965,1,1,2014,0,1
2014B0000992,1,1,2014,0,1
2014B0001037,1,1,2014,0,1
2014B0001038,1,1,2014,0,0
2014B0001040,1,1,2014,0,0
2014B0001041,1,1,2014,0,1
2014B0001042,1,1,2014,0,1
2014B0001044,1,1,2014,0,0
2014B0001049,1,1,2014,0,1
2014B0001056,1,1,2014,0,1
2014B0001059,1,1,2014,0,1
2014B0001060,1,1,2014,0,1
2014B0001061,1,1,2014,0,0
2014B0001062,1,1,2014,0,1
2014B0001064,1,1,2014,0,1
2014B0001022,1,1,2014,0,1
2014B0001025,1,1,2014,0,0
2014B0001027,1,1,2014,0,0
2014B0001029,1,1,2014,0,0
2014B0001031,1,1,2014,0,1
2014B0001106,1,1,2014,0,0
2014B0001177,1,1,2014,0,0
2014B0001183,1,1,2014,0,0
2014B0001234,1,1,2014,0,1
2014B0001237,1,1,2014,0,1
2014B0001253,1,1,2014,0,0
2014B0001255,1,1,2014,0,1
2014B0001294,1,1,2014,0,1
2014B0001309,1,1,2014,0,1
2014B0001314,1,1,2014,0,1
2014B0001318,1,1,2014,0,1
2014B0001336,1,1,2014,0,1
2014B0001341,1,1,2014,0,1
2014B0001345,1,1,2014,0,0
2014B0001450,1,1,2014,0,0
2014B0001506,1,1,2014,0,0
2014B0001507,1,1,2014,0,0
2014B0001557,1,1,2014,0,1
2014B0001565,1,1,2014,0,1
2014B0001566,1,1,2014,0,0
2014B0001568,1,1,2014,0,1
2014B0001570,1,1,2014,0,0
2014B0001676,1,1,2014,0,0
2014B0001677,1,1,2014,0,1
2014B0001680,1,1,2014,0,0
2014B0001692,1,1,2014,0,0
2014B0009030,1,1,2014,0,0
2014D0000547,1,1,2014,1,1
2014D0000549,1,1,2014,1,1
2014D0000588,1,1,2014,1,0
2014D0000589,1,1,2014,1,0
2014D0000676,1,1,2014,1,0
2014D0000703,1,1,2014,1,0
2014D0000704,1,1,2014,1,0
2014D0000706,1,1,2014,1,1
2014D0000707,1,1,2014,1,0
2014D0000709,1,1,2014,1,1
2014D0000710,1,1,2014,1,0
2014D0000698,1,1,2014,1,1
2014D0000723,1,1,2014,1,1
2014D0000724,1,1,2014,1,0
2014D0000728,1,1,2014,1,1
2014D0000736,1,1,2014,1,0
2014D0000758,1,1,2014,1,1
2014D0000763,1,1,2014,1,1
2014D0000767,1,1,2014,1,1
2014D0000847,1,1,2014,1,1
2014D0000849,1,1,2014,1,1
2014D0000862,1,1,2014,1,0
2014D0000927,1,1,2014,1,0
2014D0001299,1,1,2014,1,1
2014D0001438,1,1,2014,1,1
2014B0001822,1,1,2014,0,0
2014B0001823,1,1,2014,0,0
2014B0001824,1,1,2014,0,0
2014B0001825,1,1,2014,0,1
2014B0001826,1,1,2014,0,1
2014B0001827,1,1,2014,0,0
2014B0001828,1,1,2014,0,0
2014B0001829,1,1,2014,0,1
2014B0001830,1,1,2014,0,0
2014B0001831,1,1,2014,0,0
2014B0001987,1,1,2014,0,1
2014B0001988,1,1,2014,0,0
2014B0001989,1,1,2014,0,1
2014B0001990,1,1,2014,0,0
2014B0001992,1,1,2014,0,1
2014B0002019,1,1,2014,0,1
2014B0002100,1,1,2014,0,0
2014B0002399,1,1,2014,0,0
2014B0002448,1,1,2014,0,1
2014B0002505,1,1,2014,0,1
2014B0002557,1,1,2014,0,1
2014B0002558,1,1,2014,0,1
2014B0002560,1,1,2014,0,1
2014B0002561,1,1,2014,0,1
2014B0002584,1,1,2014,0,1
2014B0002614,1,1,2014,0,1
2014B0002654,1,1,2014,0,0
2014B0002656,1,1,2014,0,0
2014B0002726,1,1,2014,0,0
2014B0002753,1,1,2014,0,1
2014B0002755,1,1,2014,0,0
2014B0002756,1,1,2014,0,0
2014B0002757,1,1,2014,0,1
2014B0002759,1,1,2014,0,1
2014B0002761,1,1,2014,0,0
2014B0002762,1,1,2014,0,0
2014B0002763,1,1,2014,0,1
