ID,Day,Month,Year,Type,Gender
2015B0000136,1,1,2015,0,1
2015B0000027,1,1,2015,0,0
2015B0000031,1,1,2015,0,0
2015B0000047,1,1,2015,0,1
2015B0000165,1,1,2015,0,1
2015B0000237,1,1,2015,0,0
2015B0000238,1,1,2015,0,1
2015B0000239,1,1,2015,0,0
2015B0000282,1,1,2015,0,0
2015B0000283,1,1,2015,0,1
2015B0000284,1,1,2015,0,0
2015B0000285,1,1,2015,0,1
2015B0000286,1,1,2015,0,1
2015B0000311,1,1,2015,0,0
2015B0000312,1,1,2015,0,1
2015B0000322,1,1,2015,0,1
2015B0000339,1,1,2015,0,1
2015B0000578,1,1,2015,0,0
2015B0000583,1,1,2015,0,0
2015B0000584,1,1,2015,0,0
2015B0000588,1,1,2015,0,0
2015B0000623,1,1,2015,0,0
2015B0000670,1,1,2015,0,0
2015B0000681,1,1,2015,0,1
2015B0000689,1,1,2015,0,1
2015B0000712,1,1,2015,0,1
2015B0000739,1,1,2015,0,0
2015B0004148,1,1,2015,0,0
2015B0004452,1,1,2015,0,0
2015B0004455,1,1,2015,0,0
2015B0004460,1,1,2015,0,1
2015B0013246,1,1,2015,0,1
2015B0036543,1,1,2015,0,1
2016B0000782,1,1,2015,0,0
2016B0000796,1,1,2015,0,0
2016B0000813,1,1,2015,0,0
2016B0010419,1,1,2015,0,0
2015D0000014,1,1,2015,1,0
2015D0000017,1,1,2015,1,0
2015D0000018,1,1,2015,1,0
2015D0000019,1,1,2015,1,1
2015D0000020,1,1,2015,1,0
2015D0000021,1,1,2015,1,1
2015D0000023,1,1,2015,1,0
2015D0000024,1,1,2015,1,0
2015D0000025,1,1,2015,1,1
2015D0000026,1,1,2015,1,1
2015D0000027,1,1,2015,1,0
2015D0000028,1,1,2015,1,0
2015D0000029,1,1,2015,1,1
2015D0000030,1,1,2015,1,0
2015D0000031,1,1,2015,1,0
2015D0000032,1,1,2015,1,0
2015D0000033,1,1,2015,1,0
2015D0000034,1,1,2015,1,1
2015D0000035,1,1,2015,1,0
2015D0000036,1,1,2015,1,0
2015D0000038,1,1,2015,1,0
2015D0000039,1,1,2015,1,0
2015D0000043,1,1,2015,1,0
2015D0000050,1,1,2015,1,1
2015D0000051,1,1,2015,1,0
2015D0000052,1,1,2015,1,0
2015D0000053,1,1,2015,1,1
2015D0000055,1,1,2015,1,0
2015D0000056,1,1,2015,1,1
2015D0000057,1,1,2015,1,0
2015D0000058,1,1,2015,1,0
2015D0000059,1,1,2015,1,1
2015D0000060,1,1,2015,1,0
2015D0000061,1,1,2015,1,1
2015D0000077,1,1,2015,1,0
2015D0000131,1,1,2015,1,0
2015D0000132,1,1,2015,1,0
2015D0000133,1,1,2015,1,0
2015D0000128,1,1,2015,1,1
2015D0000129,1,1,2015,1,0
2015D0000138,1,1,2015,1,0
2015D0000168,1,1,2015,1,0
2015D0000176,1,1,2015,1,0
2015D0000140,1,1,2015,1,1
2015D0000141,1,1,2015,1,0
2015D0000164,1,1,2015,1,1
2015D0000232,1,1,2015,1,0
2015D0000233,1,1,2015,1,0
2015D0000239,1,1,2015,1,0
2015D0000240,1,1,2015,1,0
2015D0000241,1,1,2015,1,1
2015D0000244,1,1,2015,1,1
2015D0000245,1,1,2015,1,1
2015D0000248,1,1,2015,1,1
2015D0000300,1,1,2015,1,0
2015D0000316,1,1,2015,1,0
2015D0000344,1,1,2015,1,1
2015D0000348,1,1,2015,1,0
2015D0000354,1,1,2015,1,1
2015D0000329,1,1,2015,1,0
2015D0000441,1,1,2015,1,0
2015D0000443,1,1,2015,1,0
2015D0000452,1,1,2015,1,0
2015D0000454,1,1,2015,1,1
