Sr. No.,Registration No,Type,Date Of Event,Gender
1,2012B0000063,Birth,01/01/2012,Male
2,2012B0000064,Birth,01/01/2012,Male
3,2012B0000065,Birth,01/01/2012,Male
4,2012B0000066,Birth,01/01/2012,Female
5,2012B0000067,Birth,01/01/2012,Female
6,2012B0000068,Birth,01/01/2012,Male
7,2012B0000069,Birth,01/01/2012,Female
8,2012B0000120,Birth,01/01/2012,Male
9,2012B0000148,Birth,01/01/2012,Male
10,2012B0000179,Birth,01/01/2012,Male
11,2012B0000202,Birth,01/01/2012,Female
12,2012B0000205,Birth,01/01/2012,Male
13,2012B0000206,Birth,01/01/2012,Male
14,2012B0000378,Birth,01/01/2012,Male
15,2012B0000379,Birth,01/01/2012,Female
16,2012B0000380,Birth,01/01/2012,Female
17,2012B0000382,Birth,01/01/2012,Female
18,2012B0000384,Birth,01/01/2012,Female
19,2012B0000385,Birth,01/01/2012,Female
20,2012B0000387,Birth,01/01/2012,Male
21,2012B0000389,Birth,01/01/2012,Male
22,2012B0000391,Birth,01/01/2012,Male
23,2012B0000392,Birth,01/01/2012,Female
24,2012B0000394,Birth,01/01/2012,Male
25,2012B0000396,Birth,01/01/2012,Male
26,2012B0000398,Birth,01/01/2012,Male
27,2012B0000400,Birth,01/01/2012,Female
28,2012B0000402,Birth,01/01/2012,Male
29,2012B0000404,Birth,01/01/2012,Male
30,2012B0000405,Birth,01/01/2012,Male
31,2012B0000406,Birth,01/01/2012,Male
32,2012B0000407,Birth,01/01/2012,Male
33,2012B0000408,Birth,01/01/2012,Female
34,2012B0000415,Birth,01/01/2012,Female
35,2012B0000451,Birth,01/01/2012,Male
36,2012B0000359,Birth,01/01/2012,Male
37,2012B0000370,Birth,01/01/2012,Male
38,2012B0000495,Birth,01/01/2012,Female
39,2012B0000518,Birth,01/01/2012,Female
40,2012B0000483,Birth,01/01/2012,Male
41,2012B0000550,Birth,01/01/2012,Male
42,2012B0000558,Birth,01/01/2012,Male
43,2012B0000565,Birth,01/01/2012,Female
44,2012B0000593,Birth,01/01/2012,Female
45,2012B0000626,Birth,01/01/2012,Female
46,2012B0000628,Birth,01/01/2012,Male
47,2012B0000727,Birth,01/01/2012,Female
48,2012B0000729,Birth,01/01/2012,Female
49,2012B0000731,Birth,01/01/2012,Male
50,2012B0000732,Birth,01/01/2012,Female
51,2012B0000733,Birth,01/01/2012,Male
52,2012B0000736,Birth,01/01/2012,Female
53,2012B0000746,Birth,01/01/2012,Male
54,2012B0000801,Birth,01/01/2012,Female
55,2012B0000807,Birth,01/01/2012,Male
56,2012B0000793,Birth,01/01/2012,Male
57,2012B0000818,Birth,01/01/2012,Male
58,2012B0000921,Birth,01/01/2012,Male
59,2012B0000928,Birth,01/01/2012,Female
60,2012B0000944,Birth,01/01/2012,Male
61,2012B0000947,Birth,01/01/2012,Male
62,2012B0000963,Birth,01/01/2012,Male
63,2012B0000971,Birth,01/01/2012,Female
64,2012B0000989,Birth,01/01/2012,Female
65,2012B0000993,Birth,01/01/2012,Female
66,2012B0000999,Birth,01/01/2012,Male
67,2012B0001006,Birth,01/01/2012,Female
68,2012B0001011,Birth,01/01/2012,Female
69,2012B0001015,Birth,01/01/2012,Male
70,2012B0001034,Birth,01/01/2012,Female
71,2012B0001054,Birth,01/01/2012,Male
72,2012B0003567,Birth,01/01/2012,Female
73,2012B0003858,Birth,01/01/2012,Male
74,2012B0003861,Birth,01/01/2012,Female
75,2012B0004045,Birth,01/01/2012,Male
76,2012B0004050,Birth,01/01/2012,Male
77,2012B0004053,Birth,01/01/2012,Male
78,2012B0004303,Birth,01/01/2012,Female
79,2012B0008949,Birth,01/01/2012,Male
80,2012B0039631,Birth,01/01/2012,Female
81,2012B0056727,Birth,01/01/2012,Female
82,2012B0056731,Birth,01/01/2012,Male
83,2012B0057027,Birth,01/01/2012,Male
84,2012D0004423,Death,01/01/2012,Female
85,2012B0002363,Birth,01/01/2012,Male
86,2012B0002366,Birth,01/01/2012,Female
87,2012B0002368,Birth,01/01/2012,Female
88,2012B0002373,Birth,01/01/2012,Male
89,2012B0002415,Birth,01/01/2012,Male
90,2012B0002429,Birth,01/01/2012,Female
91,2012B0002430,Birth,01/01/2012,Male
92,2012B0002431,Birth,01/01/2012,Male
93,2012B0002432,Birth,01/01/2012,Female
94,2012B0002422,Birth,01/01/2012,Male
95,2012B0002492,Birth,01/01/2012,Female
96,2012B0002493,Birth,01/01/2012,Female
97,2012B0002500,Birth,01/01/2012,Female
98,2012B0002506,Birth,01/01/2012,Male
99,2012B0002503,Birth,01/01/2012,Female
100,2012B0002606,Birth,01/01/2012,Male
101,2012B0002609,Birth,01/01/2012,Female
102,2012B0002668,Birth,01/01/2012,Male
103,2012B0002671,Birth,01/01/2012,Male
104,2012B0002730,Birth,01/01/2012,Male
105,2012B0003037,Birth,01/01/2012,Male
106,2012B0003039,Birth,01/01/2012,Female
107,2012B0003042,Birth,01/01/2012,Female
108,2012B0003403,Birth,01/01/2012,Male
109,2012B0011137,Birth,01/01/2012,Female
110,2012D0001072,Death,01/01/2012,Male
111,2012D0001928,Death,01/01/2012,Male
112,2012D0026282,Death,01/01/2012,Male
113,2012D0026327,Death,01/01/2012,Male
114,2012D0026527,Death,01/01/2012,Male
115,2012D0026692,Death,01/01/2012,Female
116,2012B0001082,Birth,01/01/2012,Female
117,2012B0001086,Birth,01/01/2012,Female
118,2012B0001103,Birth,01/01/2012,Male
119,2012B0001113,Birth,01/01/2012,Male
120,2012B0001116,Birth,01/01/2012,Female
121,2012B0001144,Birth,01/01/2012,Female
122,2012B0001147,Birth,01/01/2012,Female
123,2012B0001152,Birth,01/01/2012,Female
124,2012B0001177,Birth,01/01/2012,Male
125,2012B0001247,Birth,01/01/2012,Male
126,2012B0001250,Birth,01/01/2012,Female
127,2012B0001291,Birth,01/01/2012,Male
128,2012B0001296,Birth,01/01/2012,Male
129,2012B0001299,Birth,01/01/2012,Male
130,2012B0001340,Birth,01/01/2012,Female
131,2012B0001474,Birth,01/01/2012,Male
132,2012B0001475,Birth,01/01/2012,Female
133,2012B0001489,Birth,01/01/2012,Female
134,2012B0001512,Birth,01/01/2012,Female
135,2012B0001524,Birth,01/01/2012,Male
136,2012B0001722,Birth,01/01/2012,Female
137,2012B0001762,Birth,01/01/2012,Male
138,2012B0001793,Birth,01/01/2012,Female
