Sr. No.,Registration No,Type,Date Of Event,Gender
1,2013B0001066,Birth,01/01/2013,Female
2,2013B0001067,Birth,01/01/2013,Female
3,2013B0001034,Birth,01/01/2013,Male
4,2013B0001073,Birth,01/01/2013,Male
5,2013B0001146,Birth,01/01/2013,Female
6,2013B0001147,Birth,01/01/2013,Female
7,2013B0001150,Birth,01/01/2013,Male
8,2013B0001188,Birth,01/01/2013,Female
9,2013B0001209,Birth,01/01/2013,Female
10,2013B0001222,Birth,01/01/2013,Female
11,2013B0001226,Birth,01/01/2013,Male
12,2013B0001229,Birth,01/01/2013,Male
13,2013B0001232,Birth,01/01/2013,Female
14,2013B0001234,Birth,01/01/2013,Female
15,2013B0001250,Birth,01/01/2013,Female
16,2013B0001270,Birth,01/01/2013,Male
17,2013B0001272,Birth,01/01/2013,Male
18,2013B0001281,Birth,01/01/2013,Female
19,2013B0001285,Birth,01/01/2013,Female
20,2013B0001287,Birth,01/01/2013,Female
21,2013B0001290,Birth,01/01/2013,Male
22,2013B0001293,Birth,01/01/2013,Male
23,2013B0001296,Birth,01/01/2013,Female
24,2013B0001348,Birth,01/01/2013,Male
25,2013B0001352,Birth,01/01/2013,Male
26,2013B0001354,Birth,01/01/2013,Male
27,2013B0001358,Birth,01/01/2013,Male
28,2013B0001383,Birth,01/01/2013,Female
29,2013B0001386,Birth,01/01/2013,Female
30,2013B0001387,Birth,01/01/2013,Male
31,2013B0001389,Birth,01/01/2013,Female
32,2013B0001402,Birth,01/01/2013,Male
33,2013B0001451,Birth,01/01/2013,Male
34,2013B0001525,Birth,01/01/2013,Female
35,2013B0001531,Birth,01/01/2013,Male
36,2013B0001566,Birth,01/01/2013,Female
37,2013B0001575,Birth,01/01/2013,Male
38,2013B0001577,Birth,01/01/2013,Male
39,2013B0001596,Birth,01/01/2013,Female
40,2013B0001600,Birth,01/01/2013,Male
41,2013B0001601,Birth,01/01/2013,Female
42,2013B0001624,Birth,01/01/2013,Female
43,2013B0001707,Birth,01/01/2013,Male
44,2013B0001855,Birth,01/01/2013,Male
45,2013B0001857,Birth,01/01/2013,Male
46,2013B0001885,Birth,01/01/2013,Male
47,2013B0001892,Birth,01/01/2013,Female
48,2013B0001897,Birth,01/01/2013,Female
49,2013B0001898,Birth,01/01/2013,Female
50,2013B0001899,Birth,01/01/2013,Female
51,2013B0001901,Birth,01/01/2013,Female
52,2013B0001894,Birth,01/01/2013,Male
53,2013B0001895,Birth,01/01/2013,Female
54,2013B0001906,Birth,01/01/2013,Male
55,2013B0001909,Birth,01/01/2013,Male
56,2013B0002009,Birth,01/01/2013,Male
57,2013B0002014,Birth,01/01/2013,Male
58,2013B0002118,Birth,01/01/2013,Female
59,2013B0002155,Birth,01/01/2013,Female
60,2013B0002247,Birth,01/01/2013,Male
61,2013B0002278,Birth,01/01/2013,Male
62,2013B0002279,Birth,01/01/2013,Male
63,2013B0002280,Birth,01/01/2013,Male
64,2013B0002281,Birth,01/01/2013,Male
65,2013B0002274,Birth,01/01/2013,Male
66,2013B0002283,Birth,01/01/2013,Female
67,2013B0002327,Birth,01/01/2013,Male
68,2013B0002328,Birth,01/01/2013,Male
69,2013B0002329,Birth,01/01/2013,Female
70,2013B0002298,Birth,01/01/2013,Female
71,2013B0002367,Birth,01/01/2013,Male
72,2013B0006460,Birth,01/01/2013,Female
73,2013B0006633,Birth,01/01/2013,Male
74,2013B0006777,Birth,01/01/2013,Female
75,2013B0006778,Birth,01/01/2013,Male
76,2013B0006779,Birth,01/01/2013,Male
77,2013B0006780,Birth,01/01/2013,Female
78,2013B0006790,Birth,01/01/2013,Female
79,2013B0012582,Birth,01/01/2013,Female
80,2013B0016897,Birth,01/01/2013,Female
81,2014B0037828,Birth,01/01/2013,Male
82,2013D0001970,Death,01/01/2013,Female
83,2013B0000291,Birth,01/01/2013,Female
84,2013B0000292,Birth,01/01/2013,Male
85,2013B0000293,Birth,01/01/2013,Male
86,2013B0000294,Birth,01/01/2013,Male
87,2013B0000295,Birth,01/01/2013,Female
88,2013B0000296,Birth,01/01/2013,Male
89,2013B0000297,Birth,01/01/2013,Male
90,2013B0000335,Birth,01/01/2013,Male
91,2013B0000341,Birth,01/01/2013,Female
92,2013B0000371,Birth,01/01/2013,Male
93,2013B0000374,Birth,01/01/2013,Female
94,2013B0000386,Birth,01/01/2013,Male
95,2013B0000387,Birth,01/01/2013,Female
96,2013B0000388,Birth,01/01/2013,Female
97,2013B0000389,Birth,01/01/2013,Female
98,2013B0000462,Birth,01/01/2013,Female
99,2013B0000473,Birth,01/01/2013,Female
100,2013B0000478,Birth,01/01/2013,Female
101,2013B0000490,Birth,01/01/2013,Female
102,2013B0000498,Birth,01/01/2013,Female
103,2013B0000502,Birth,01/01/2013,Male
104,2013B0000510,Birth,01/01/2013,Female
105,2013B0000257,Birth,01/01/2013,Female
106,2013B0000413,Birth,01/01/2013,Female
107,2013B0000438,Birth,01/01/2013,Male
108,2013B0000573,Birth,01/01/2013,Male
109,2013B0000575,Birth,01/01/2013,Male
110,2013B0000577,Birth,01/01/2013,Male
111,2013B0000588,Birth,01/01/2013,Male
112,2013B0000595,Birth,01/01/2013,Male
113,2013B0000598,Birth,01/01/2013,Female
114,2013B0000602,Birth,01/01/2013,Female
115,2013B0000600,Birth,01/01/2013,Female
116,2013B0000621,Birth,01/01/2013,Male
117,2013B0000633,Birth,01/01/2013,Male
118,2013B0000615,Birth,01/01/2013,Female
119,2013B0000618,Birth,01/01/2013,Female
120,2013B0000771,Birth,01/01/2013,Male
121,2013B0000777,Birth,01/01/2013,Female
122,2013B0000787,Birth,01/01/2013,Female
123,2013B0000796,Birth,01/01/2013,Male
124,2013B0000805,Birth,01/01/2013,Female
125,2013B0000808,Birth,01/01/2013,Male
126,2013B0000810,Birth,01/01/2013,Male
127,2013B0000812,Birth,01/01/2013,Female
128,2013B0000814,Birth,01/01/2013,Male
129,2013B0000815,Birth,01/01/2013,Female
130,2013B0000821,Birth,01/01/2013,Male
131,2013B0000847,Birth,01/01/2013,Female
132,2013B0000849,Birth,01/01/2013,Female
133,2013B0000852,Birth,01/01/2013,Female
134,2013B0000824,Birth,01/01/2013,Male
135,2013B0000858,Birth,01/01/2013,Female
136,2013B0000866,Birth,01/01/2013,Female
137,2013B0000886,Birth,01/01/2013,Female
138,2013B0000889,Birth,01/01/2013,Female
139,2013B0000891,Birth,01/01/2013,Male
140,2013B0000892,Birth,01/01/2013,Female
141,2013B0000893,Birth,01/01/2013,Female
142,2013B0000894,Birth,01/01/2013,Male
143,2013B0000895,Birth,01/01/2013,Male
144,2013B0000897,Birth,01/01/2013,Female
145,2013B0000899,Birth,01/01/2013,Female
146,2013B0000877,Birth,01/01/2013,Male
147,2013B0000902,Birth,01/01/2013,Female
148,2013B0000905,Birth,01/01/2013,Male
149,2013B0000907,Birth,01/01/2013,Male
150,2013B0000912,Birth,01/01/2013,Male
151,2013B0000915,Birth,01/01/2013,Male
152,2013B0000917,Birth,01/01/2013,Male
153,2013B0000920,Birth,01/01/2013,Female
154,2013B0000923,Birth,01/01/2013,Female
155,2013B0000926,Birth,01/01/2013,Female
156,2013B0000928,Birth,01/01/2013,Male
157,2013B0000929,Birth,01/01/2013,Male
158,2013B0000931,Birth,01/01/2013,Female
159,2013B0000973,Birth,01/01/2013,Male
160,2013B0000982,Birth,01/01/2013,Female
161,2013B0000984,Birth,01/01/2013,Female
162,2013B0000986,Birth,01/01/2013,Female
163,2012B0056123,Birth,01/01/2013,Female
164,2012B0056128,Birth,01/01/2013,Male
165,2012B0056416,Birth,01/01/2013,Male
166,2012B0056198,Birth,01/01/2013,Female
167,2013B0000089,Birth,01/01/2013,Male
168,2013B0000091,Birth,01/01/2013,Female
169,2013B0000105,Birth,01/01/2013,Female
170,2013B0000107,Birth,01/01/2013,Male
171,2013B0000158,Birth,01/01/2013,Male
172,2013B0002397,Birth,01/01/2013,Female
173,2013B0002400,Birth,01/01/2013,Male
174,2013B0002403,Birth,01/01/2013,Female
175,2013B0002414,Birth,01/01/2013,Female
176,2013B0002416,Birth,01/01/2013,Female
177,2013B0002419,Birth,01/01/2013,Male
178,2013B0002431,Birth,01/01/2013,Female
179,2013B0002434,Birth,01/01/2013,Female
180,2013B0002436,Birth,01/01/2013,Female
181,2013B0002440,Birth,01/01/2013,Male
182,2013B0002444,Birth,01/01/2013,Female
183,2013B0002479,Birth,01/01/2013,Female
184,2013B0002493,Birth,01/01/2013,Female
185,2013B0002521,Birth,01/01/2013,Female
186,2013B0002522,Birth,01/01/2013,Female
187,2013B0002523,Birth,01/01/2013,Female
188,2013B0002615,Birth,01/01/2013,Male
189,2013B0002674,Birth,01/01/2013,Male
