Sr. No.,Registration No,Type,Date Of Event,Gender
190,2013B0002677,Birth,01/01/2013,Female
191,2013B0002678,Birth,01/01/2013,Female
192,2013B0002727,Birth,01/01/2013,Female
193,2013B0002729,Birth,01/01/2013,Male
194,2013B0002751,Birth,01/01/2013,Male
195,2013B0002824,Birth,01/01/2013,Female
196,2013B0002826,Birth,01/01/2013,Male
197,2013B0002830,Birth,01/01/2013,Female
198,2013B0002832,Birth,01/01/2013,Male
199,2013B0003385,Birth,01/01/2013,Female
200,2013B0010012,Birth,01/01/2013,Male
201,2013B0043712,Birth,01/01/2013,Female
202,2014B0009064,Birth,01/01/2013,Female
203,2013D0000007,Death,01/01/2013,Female
204,2013D0000008,Death,01/01/2013,Female
205,2013D0000009,Death,01/01/2013,Male
206,2013D0000010,Death,01/01/2013,Male
207,2013D0000011,Death,01/01/2013,Female
208,2013D0000012,Death,01/01/2013,Female
209,2013D0000013,Death,01/01/2013,Male
210,2013D0000022,Death,01/01/2013,Male
211,2013D0000023,Death,01/01/2013,Female
212,2013D0000016,Death,01/01/2013,Male
213,2013D0000044,Death,01/01/2013,Male
214,2013D0000088,Death,01/01/2013,Female
215,2013D0000089,Death,01/01/2013,Male
216,2013D0000090,Death,01/01/2013,Female
217,2013D0000096,Death,01/01/2013,Male
218,2013D0000097,Death,01/01/2013,Female
219,2013D0000098,Death,01/01/2013,Female
220,2013D0000101,Death,01/01/2013,Male
221,2013D0000102,Death,01/01/2013,Female
222,2013D0000126,Death,01/01/2013,Female
223,2013D0000127,Death,01/01/2013,Male
224,2013D0000128,Death,01/01/2013,Female
225,2013D0000129,Death,01/01/2013,Female
226,2013D0000130,Death,01/01/2013,Female
227,2013D0000131,Death,01/01/2013,Male
228,2013D0000132,Death,01/01/2013,Male
229,2013D0000133,Death,01/01/2013,Male
230,2013D0000134,Death,01/01/2013,Male
231,2013D0000135,Death,01/01/2013,Female
232,2013D0000136,Death,01/01/2013,Female
233,2013D0000137,Death,01/01/2013,Male
234,2013D0000138,Death,01/01/2013,Male
235,2013D0000139,Death,01/01/2013,Male
236,2013D0000140,Death,01/01/2013,Female
237,2013D0000141,Death,01/01/2013,Female
238,2013D0000142,Death,01/01/2013,Female
239,2013D0000143,Death,01/01/2013,Male
240,2013D0000144,Death,01/01/2013,Female
241,2013D0000145,Death,01/01/2013,Male
242,2013D0000147,Death,01/01/2013,Female
243,2013D0000148,Death,01/01/2013,Female
244,2013D0000150,Death,01/01/2013,Male
245,2013D0000151,Death,01/01/2013,Female
246,2013D0000152,Death,01/01/2013,Male
247,2013D0000153,Death,01/01/2013,Male
248,2013D0000154,Death,01/01/2013,Female
249,2013D0000155,Death,01/01/2013,Male
250,2013D0000156,Death,01/01/2013,Male
251,2013D0000157,Death,01/01/2013,Male
252,2013D0000158,Death,01/01/2013,Male
253,2013D0000159,Death,01/01/2013,Male
254,2013D0000160,Death,01/01/2013,Male
255,2013D0000161,Death,01/01/2013,Male
256,2013D0000069,Death,01/01/2013,Male
257,2013D0000076,Death,01/01/2013,Female
258,2013D0000077,Death,01/01/2013,Male
259,2013D0000212,Death,01/01/2013,Female
260,2013D0000084,Death,01/01/2013,Male
261,2013D0000115,Death,01/01/2013,Male
262,2013D0000303,Death,01/01/2013,Female
263,2013D0000604,Death,01/01/2013,Female
264,2013D0000606,Death,01/01/2013,Male
265,2013D0000608,Death,01/01/2013,Male
266,2013D0000633,Death,01/01/2013,Female
267,2013D0000634,Death,01/01/2013,Female
268,2013D0000722,Death,01/01/2013,Female
269,2013D0000723,Death,01/01/2013,Female
270,2013D0000821,Death,01/01/2013,Male
271,2013D0000900,Death,01/01/2013,Female
272,2013D0000898,Death,01/01/2013,Female
273,2013B0004604,Birth,01/01/2013,Female
274,2013B0004619,Birth,01/01/2013,Male
275,2013B0004631,Birth,01/01/2013,Male
276,2013B0004752,Birth,01/01/2013,Male
277,2013B0004764,Birth,01/01/2013,Female
278,2013B0004980,Birth,01/01/2013,Male
279,2013B0005011,Birth,01/01/2013,Female
280,2013B0005013,Birth,01/01/2013,Female
281,2013B0007570,Birth,01/01/2013,Male
282,2013B0007583,Birth,01/01/2013,Male
283,2013B0007997,Birth,01/01/2013,Female
284,2013B0013495,Birth,01/01/2013,Female
285,2013D0002456,Death,01/01/2013,Female
286,2013D0002593,Death,01/01/2013,Male
287,2013D0002469,Death,02/01/2013,Female
288,2013B0058101,Birth,02/01/2013,Male
289,2013B0017955,Birth,02/01/2013,Female
290,2013B0004786,Birth,02/01/2013,Female
291,2013D0000901,Death,02/01/2013,Male
292,2013D0000902,Death,02/01/2013,Female
293,2013D0000879,Death,02/01/2013,Male
294,2013D0000880,Death,02/01/2013,Female
295,2013D0000822,Death,02/01/2013,Male
296,2013D0000823,Death,02/01/2013,Female
297,2013D0000724,Death,02/01/2013,Male
298,2013D0000727,Death,02/01/2013,Male
299,2013D0000735,Death,02/01/2013,Female
300,2013D0000736,Death,02/01/2013,Female
301,2013D0000791,Death,02/01/2013,Male
302,2013D0000636,Death,02/01/2013,Female
303,2013D0000632,Death,02/01/2013,Male
304,2013D0004373,Death,02/01/2013,Female
305,2013D0000609,Death,02/01/2013,Female
306,2013D0000611,Death,02/01/2013,Female
307,2013D0000374,Death,02/01/2013,Female
308,2013D0000113,Death,02/01/2013,Female
309,2013D0000220,Death,02/01/2013,Male
310,2013D0000221,Death,02/01/2013,Female
311,2013D0000222,Death,02/01/2013,Male
312,2013D0000223,Death,02/01/2013,Male
313,2013D0000107,Death,02/01/2013,Female
314,2013D0000108,Death,02/01/2013,Female
315,2013D0000109,Death,02/01/2013,Male
316,2013D0000110,Death,02/01/2013,Female
317,2013D0000117,Death,02/01/2013,Male
318,2013D0000276,Death,02/01/2013,Male
319,2013D0000277,Death,02/01/2013,Male
320,2013D0000278,Death,02/01/2013,Male
321,2013D0000053,Death,02/01/2013,Male
322,2013D0000054,Death,02/01/2013,Female
323,2013D0000055,Death,02/01/2013,Female
324,2013D0000056,Death,02/01/2013,Male
325,2013D0000057,Death,02/01/2013,Male
326,2013D0000058,Death,02/01/2013,Male
327,2013D0000059,Death,02/01/2013,Male
328,2013D0000061,Death,02/01/2013,Male
329,2013D0000062,Death,02/01/2013,Female
330,2013D0000064,Death,02/01/2013,Female
331,2013D0000045,Death,02/01/2013,Female
332,2013D0000046,Death,02/01/2013,Male
333,2013D0000047,Death,02/01/2013,Male
334,2013D0000048,Death,02/01/2013,Male
335,2013D0000049,Death,02/01/2013,Male
336,2013D0000050,Death,02/01/2013,Male
337,2013D0000051,Death,02/01/2013,Male
338,2013D0000017,Death,02/01/2013,Male
339,2013D0000018,Death,02/01/2013,Female
340,2013D0000019,Death,02/01/2013,Male
341,2013D0000020,Death,02/01/2013,Female
342,2013D0000021,Death,02/01/2013,Female
343,2013D0000005,Death,02/01/2013,Female
344,2013D0000006,Death,02/01/2013,Male
345,2013D0000024,Death,02/01/2013,Female
346,2013D0000025,Death,02/01/2013,Female
347,2013D0000026,Death,02/01/2013,Male
348,2013D0000027,Death,02/01/2013,Male
349,2013D0000028,Death,02/01/2013,Male
350,2013D0000029,Death,02/01/2013,Female
351,2013D0000030,Death,02/01/2013,Male
352,2013D0000031,Death,02/01/2013,Male
353,2013D0000032,Death,02/01/2013,Male
354,2013D0000033,Death,02/01/2013,Female
355,2013D0000034,Death,02/01/2013,Female
356,2013D0000035,Death,02/01/2013,Female
357,2013D0000036,Death,02/01/2013,Male
358,2013D0000037,Death,02/01/2013,Female
359,2013D0000038,Death,02/01/2013,Male
360,2013D0000039,Death,02/01/2013,Female
361,2013D0000040,Death,02/01/2013,Male
362,2013D0000041,Death,02/01/2013,Male
363,2013D0000042,Death,02/01/2013,Male
364,2013D0000043,Death,02/01/2013,Male
365,2013D0000014,Death,02/01/2013,Male
366,2013D0000015,Death,02/01/2013,Female
367,2013B0057964,Birth,02/01/2013,Male
368,2013B0013955,Birth,02/01/2013,Male
369,2013B0014353,Birth,02/01/2013,Male
370,2013B0003386,Birth,02/01/2013,Male
371,2013B0003399,Birth,02/01/2013,Male
372,2013B0003095,Birth,02/01/2013,Male
373,2013B0003098,Birth,02/01/2013,Female
374,2013B0002833,Birth,02/01/2013,Male
375,2013B0002841,Birth,02/01/2013,Female
376,2013B0002844,Birth,02/01/2013,Female
377,2013B0002848,Birth,02/01/2013,Male
378,2013B0002851,Birth,02/01/2013,Female
379,2013B0002854,Birth,02/01/2013,Female
380,2013B0002825,Birth,02/01/2013,Male
381,2013B0002753,Birth,02/01/2013,Female
382,2013B0002754,Birth,02/01/2013,Female
383,2013B0002704,Birth,02/01/2013,Female
384,2013B0002716,Birth,02/01/2013,Male
385,2013B0002679,Birth,02/01/2013,Male
386,2013B0002863,Birth,02/01/2013,Female
387,2013B0002864,Birth,02/01/2013,Female
388,2013B0002865,Birth,02/01/2013,Male
389,2013B0002866,Birth,02/01/2013,Male
390,2013B0002867,Birth,02/01/2013,Female
391,2013B0002873,Birth,02/01/2013,Male
392,2013B0002857,Birth,02/01/2013,Male
393,2013B0002941,Birth,02/01/2013,Male
394,2013B0002942,Birth,02/01/2013,Male
395,2013B0002617,Birth,02/01/2013,Female
396,2013B0002483,Birth,02/01/2013,Male
397,2013B0002446,Birth,02/01/2013,Male
398,2013B0002450,Birth,02/01/2013,Male
399,2013B0002453,Birth,02/01/2013,Male
400,2013B0002461,Birth,02/01/2013,Female
401,2013B0002425,Birth,02/01/2013,Female
402,2013B0002427,Birth,02/01/2013,Male
403,2013B0002421,Birth,02/01/2013,Female
404,2013B0002422,Birth,02/01/2013,Male
405,2013B0002405,Birth,02/01/2013,Male
406,2013B0000124,Birth,02/01/2013,Female
407,2012B0056134,Birth,02/01/2013,Male
408,2013B0000987,Birth,02/01/2013,Female
409,2013B0000990,Birth,02/01/2013,Female
410,2013B0000991,Birth,02/01/2013,Female
411,2013B0000993,Birth,02/01/2013,Female
412,2013B0000978,Birth,02/01/2013,Male
413,2013B0000981,Birth,02/01/2013,Female
414,2013B0000941,Birth,02/01/2013,Male
415,2013B0000943,Birth,02/01/2013,Male
416,2013B0000935,Birth,02/01/2013,Female
417,2013B0000939,Birth,02/01/2013,Female
418,2013B0000946,Birth,02/01/2013,Male
419,2013B0000948,Birth,02/01/2013,Female
420,2013B0000924,Birth,02/01/2013,Female
421,2013B0000925,Birth,02/01/2013,Female
422,2013B0000922,Birth,02/01/2013,Female
423,2013B0000918,Birth,02/01/2013,Female
424,2013B0000919,Birth,02/01/2013,Male
425,2013B0000916,Birth,02/01/2013,Male
426,2013B0000914,Birth,02/01/2013,Male
427,2013B0000802,Birth,02/01/2013,Female
428,2013B0000860,Birth,02/01/2013,Female
429,2013B0000825,Birth,02/01/2013,Male
430,2013B0000822,Birth,02/01/2013,Male
431,2013B0000817,Birth,02/01/2013,Male
432,2013B0000813,Birth,02/01/2013,Male
433,2013B0000806,Birth,02/01/2013,Male
434,2013B0000798,Birth,02/01/2013,Female
435,2013B0000759,Birth,02/01/2013,Male
436,2013B0000638,Birth,02/01/2013,Female
437,2013B0000608,Birth,02/01/2013,Male
438,2013B0000610,Birth,02/01/2013,Female
439,2013B0000612,Birth,02/01/2013,Male
440,2013B0000590,Birth,02/01/2013,Female
441,2013B0000515,Birth,02/01/2013,Male
442,2013B0000540,Birth,02/01/2013,Female
443,2013B0000543,Birth,02/01/2013,Male
444,2013B0000544,Birth,02/01/2013,Female
445,2013B0000545,Birth,02/01/2013,Male
446,2013B0000547,Birth,02/01/2013,Male
447,2013B0000550,Birth,02/01/2013,Female
448,2013B0000390,Birth,02/01/2013,Female
449,2013B0000298,Birth,02/01/2013,Female
450,2013B0000299,Birth,02/01/2013,Male
451,2013B0005217,Birth,02/01/2013,Male
452,2014B0001075,Birth,02/01/2013,Female
453,2013D0027286,Death,02/01/2013,Female
454,2013D0001964,Death,02/01/2013,Male
455,2013D0001969,Death,02/01/2013,Male
456,2013D0000935,Death,02/01/2013,Male
457,2013D0000936,Death,02/01/2013,Male
458,2013B0056863,Birth,02/01/2013,Male
459,2013B0016345,Birth,02/01/2013,Male
460,2013B0016346,Birth,02/01/2013,Male
461,2013B0002345,Birth,02/01/2013,Female
462,2013B0002330,Birth,02/01/2013,Female
463,2013B0002331,Birth,02/01/2013,Female
464,2013B0002300,Birth,02/01/2013,Female
465,2013B0002285,Birth,02/01/2013,Female
466,2013B0002286,Birth,02/01/2013,Male
467,2013B0002225,Birth,02/01/2013,Female
468,2013B0002146,Birth,02/01/2013,Female
469,2013B0002150,Birth,02/01/2013,Male
470,2013B0002079,Birth,02/01/2013,Female
471,2013B0002081,Birth,02/01/2013,Male
472,2013B0001911,Birth,02/01/2013,Female
473,2013B0001914,Birth,02/01/2013,Female
474,2013B0001923,Birth,02/01/2013,Male
475,2013B0001928,Birth,02/01/2013,Female
476,2013B0001925,Birth,02/01/2013,Female
477,2013B0001926,Birth,02/01/2013,Male
478,2013B0001859,Birth,02/01/2013,Male
479,2013B0001886,Birth,02/01/2013,Female
480,2013B0001861,Birth,02/01/2013,Male
481,2013B0001714,Birth,02/01/2013,Male
482,2013B0001729,Birth,02/01/2013,Male
483,2013B0001743,Birth,02/01/2013,Female
484,2013B0001640,Birth,02/01/2013,Male
485,2013B0001602,Birth,02/01/2013,Female
486,2013B0001533,Birth,02/01/2013,Female
487,2013B0001561,Birth,02/01/2013,Male
488,2013B0001562,Birth,02/01/2013,Male
489,2013B0001537,Birth,02/01/2013,Male
490,2013B0001498,Birth,02/01/2013,Female
491,2013B0001447,Birth,02/01/2013,Male
492,2013B0001439,Birth,02/01/2013,Male
493,2013B0001454,Birth,02/01/2013,Male
494,2013B0001460,Birth,02/01/2013,Male
495,2013B0001404,Birth,02/01/2013,Male
496,2013B0001390,Birth,02/01/2013,Male
497,2013B0001395,Birth,02/01/2013,Female
498,2013B0001397,Birth,02/01/2013,Male
499,2013B0001361,Birth,02/01/2013,Female
500,2013B0001363,Birth,02/01/2013,Male
501,2013B0001364,Birth,02/01/2013,Female
502,2013B0001367,Birth,02/01/2013,Female
503,2013B0001298,Birth,02/01/2013,Female
504,2013B0001304,Birth,02/01/2013,Male
505,2013B0001309,Birth,02/01/2013,Male
506,2013B0001266,Birth,02/01/2013,Female
507,2013B0001267,Birth,02/01/2013,Female
508,2013B0001255,Birth,02/01/2013,Male
509,2013B0001216,Birth,02/01/2013,Female
510,2013B0001149,Birth,02/01/2013,Male
511,2013B0001192,Birth,02/01/2013,Male
512,2013B0001201,Birth,02/01/2013,Female
513,2013B0001137,Birth,02/01/2013,Male
514,2013B0001074,Birth,02/01/2013,Female
515,2013B0001076,Birth,02/01/2013,Male
516,2013B0001097,Birth,02/01/2013,Female
517,2013B0001098,Birth,02/01/2013,Male
518,2013B0001100,Birth,02/01/2013,Female
519,2013B0001110,Birth,02/01/2013,Male
520,2013B0001107,Birth,02/01/2013,Male
521,2013B0001118,Birth,02/01/2013,Male
522,2013B0001119,Birth,02/01/2013,Male
523,2013B0001123,Birth,03/01/2013,Female
524,2013B0001124,Birth,03/01/2013,Female
525,2013B0001128,Birth,03/01/2013,Female
526,2013B0001102,Birth,03/01/2013,Female
527,2013B0001103,Birth,03/01/2013,Female
528,2013B0001079,Birth,03/01/2013,Male
529,2013B0001077,Birth,03/01/2013,Male
530,2013B0001068,Birth,03/01/2013,Male
531,2013B0001069,Birth,03/01/2013,Female
532,2013B0001070,Birth,03/01/2013,Female
533,2013B0001012,Birth,03/01/2013,Female
534,2013B0001046,Birth,03/01/2013,Male
535,2013B0001047,Birth,03/01/2013,Female
536,2013B0001048,Birth,03/01/2013,Male
537,2013B0001121,Birth,03/01/2013,Female
538,2013B0001193,Birth,03/01/2013,Male
539,2013B0001259,Birth,03/01/2013,Male
540,2013B0001254,Birth,03/01/2013,Female
541,2013B0001268,Birth,03/01/2013,Male
542,2013B0001271,Birth,03/01/2013,Male
543,2013B0001369,Birth,03/01/2013,Female
544,2013B0001396,Birth,03/01/2013,Male
545,2013B0001391,Birth,03/01/2013,Female
546,2013B0001392,Birth,03/01/2013,Female
547,2013B0001372,Birth,03/01/2013,Female
548,2013B0001349,Birth,03/01/2013,Female
549,2013B0001344,Birth,03/01/2013,Female
550,2013B0001318,Birth,03/01/2013,Male
551,2013B0001334,Birth,03/01/2013,Male
552,2013B0001403,Birth,03/01/2013,Female
553,2013B0001400,Birth,03/01/2013,Female
554,2013B0001431,Birth,03/01/2013,Female
555,2013B0001432,Birth,03/01/2013,Male
556,2013B0001435,Birth,03/01/2013,Female
557,2013B0001461,Birth,03/01/2013,Male
558,2013B0001438,Birth,03/01/2013,Female
559,2013B0001453,Birth,03/01/2013,Male
560,2013B0001457,Birth,03/01/2013,Male
561,2013B0001459,Birth,03/01/2013,Male
562,2013B0001440,Birth,03/01/2013,Male
563,2013B0001443,Birth,03/01/2013,Male
564,2013B0001444,Birth,03/01/2013,Female
565,2013B0001449,Birth,03/01/2013,Male
566,2013B0001501,Birth,03/01/2013,Male
567,2013B0001470,Birth,03/01/2013,Female
568,2013B0001468,Birth,03/01/2013,Male
569,2013B0001474,Birth,03/01/2013,Female
570,2013B0001479,Birth,03/01/2013,Male
571,2013B0001483,Birth,03/01/2013,Male
572,2013B0001568,Birth,03/01/2013,Male
573,2013B0001536,Birth,03/01/2013,Male
574,2013B0001660,Birth,03/01/2013,Male
575,2013B0001754,Birth,03/01/2013,Male
576,2013B0001766,Birth,03/01/2013,Male
577,2013B0001775,Birth,03/01/2013,Male
578,2013B0001784,Birth,03/01/2013,Male
579,2013B0001791,Birth,03/01/2013,Female
580,2013B0001933,Birth,03/01/2013,Male
581,2013B0001972,Birth,03/01/2013,Female
582,2013B0001973,Birth,03/01/2013,Female
583,2013B0002080,Birth,03/01/2013,Female
584,2013B0002153,Birth,03/01/2013,Female
585,2013B0002119,Birth,03/01/2013,Male
586,2013B0002129,Birth,03/01/2013,Female
587,2013B0002020,Birth,03/01/2013,Female
588,2013B0002219,Birth,03/01/2013,Female
589,2013B0002301,Birth,03/01/2013,Female
590,2013B0016349,Birth,03/01/2013,Male
591,2013D0000933,Death,03/01/2013,Male
592,2013D0001148,Death,03/01/2013,Male
593,2013D0001196,Death,03/01/2013,Male
594,2013B0057247,Birth,03/01/2013,Male
595,2013B0057316,Birth,03/01/2013,Male
596,2013D0001404,Death,03/01/2013,Female
597,2013D0001959,Death,03/01/2013,Male
598,2013D0001972,Death,03/01/2013,Male
599,2013D0001973,Death,03/01/2013,Male
600,2013D0027094,Death,03/01/2013,Female
601,2013B0000938,Birth,03/01/2013,Female
602,2013B0000552,Birth,03/01/2013,Male
603,2013B0000553,Birth,03/01/2013,Female
604,2013B0000554,Birth,03/01/2013,Male
605,2013B0000556,Birth,03/01/2013,Female
606,2013B0000565,Birth,03/01/2013,Male
607,2013B0000566,Birth,03/01/2013,Male
608,2013B0000568,Birth,03/01/2013,Male
609,2013B0000570,Birth,03/01/2013,Female
610,2013B0000572,Birth,03/01/2013,Female
611,2013B0000592,Birth,03/01/2013,Male
612,2013B0000593,Birth,03/01/2013,Female
613,2013B0000574,Birth,03/01/2013,Female
