Sr. No.,Registration No,Type,Date Of Event,Gender
1,2014B0003920,Birth,01/01/2014,Male
2,2014B0007535,Birth,01/01/2014,Male
3,2014D0000011,Death,01/01/2014,Male
4,2014D0000012,Death,01/01/2014,Male
5,2014D0000013,Death,01/01/2014,Female
6,2014D0000014,Death,01/01/2014,Female
7,2014D0000015,Death,01/01/2014,Female
8,2014D0000016,Death,01/01/2014,Female
9,2014D0000017,Death,01/01/2014,Male
10,2014D0000018,Death,01/01/2014,Female
11,2014D0000019,Death,01/01/2014,Female
12,2014D0000021,Death,01/01/2014,Male
13,2014D0000022,Death,01/01/2014,Male
14,2014D0000023,Death,01/01/2014,Female
15,2014D0000024,Death,01/01/2014,Female
16,2014D0000025,Death,01/01/2014,Male
17,2014D0000026,Death,01/01/2014,Female
18,2014D0000027,Death,01/01/2014,Female
19,2014D0000028,Death,01/01/2014,Male
20,2014D0000029,Death,01/01/2014,Female
21,2014D0000030,Death,01/01/2014,Male
22,2014D0000031,Death,01/01/2014,Male
23,2014D0000032,Death,01/01/2014,Male
24,2014D0000033,Death,01/01/2014,Female
25,2014D0000034,Death,01/01/2014,Male
26,2014D0000035,Death,01/01/2014,Male
27,2014D0000036,Death,01/01/2014,Male
28,2014D0000037,Death,01/01/2014,Male
29,2014D0000038,Death,01/01/2014,Male
30,2014D0000039,Death,01/01/2014,Male
31,2014D0000040,Death,01/01/2014,Female
32,2014D0000043,Death,01/01/2014,Male
33,2014D0000045,Death,01/01/2014,Male
34,2014D0000046,Death,01/01/2014,Male
35,2014D0000047,Death,01/01/2014,Female
36,2014D0000048,Death,01/01/2014,Male
37,2014D0000049,Death,01/01/2014,Male
38,2014D0000001,Death,01/01/2014,Female
39,2014D0000005,Death,01/01/2014,Male
40,2014D0000093,Death,01/01/2014,Male
41,2014D0000217,Death,01/01/2014,Male
42,2014D0000218,Death,01/01/2014,Male
43,2014D0000220,Death,01/01/2014,Male
44,2014D0000221,Death,01/01/2014,Female
45,2014D0000228,Death,01/01/2014,Female
46,2014D0000229,Death,01/01/2014,Male
47,2014D0000230,Death,01/01/2014,Male
48,2014D0000231,Death,01/01/2014,Male
49,2014D0000189,Death,01/01/2014,Male
50,2014D0000265,Death,01/01/2014,Male
51,2014D0000283,Death,01/01/2014,Male
52,2014D0000294,Death,01/01/2014,Male
53,2014D0000306,Death,01/01/2014,Male
54,2014D0000336,Death,01/01/2014,Male
55,2014D0000364,Death,01/01/2014,Male
56,2014D0003041,Death,01/01/2014,Male
57,2014B0000692,Birth,01/01/2014,Female
58,2014B0000694,Birth,01/01/2014,Female
59,2014B0000771,Birth,01/01/2014,Female
60,2014B0000782,Birth,01/01/2014,Male
61,2014B0000780,Birth,01/01/2014,Female
62,2014B0000822,Birth,01/01/2014,Female
63,2014B0000875,Birth,01/01/2014,Male
64,2014B0000913,Birth,01/01/2014,Female
65,2014B0000937,Birth,01/01/2014,Female
66,2014B0000940,Birth,01/01/2014,Female
67,2014B0000959,Birth,01/01/2014,Male
68,2014B0000962,Birth,01/01/2014,Male
69,2014B0000965,Birth,01/01/2014,Female
70,2014B0000992,Birth,01/01/2014,Female
71,2014B0001037,Birth,01/01/2014,Female
72,2014B0001038,Birth,01/01/2014,Male
73,2014B0001040,Birth,01/01/2014,Male
74,2014B0001041,Birth,01/01/2014,Female
75,2014B0001042,Birth,01/01/2014,Female
76,2014B0001044,Birth,01/01/2014,Male
77,2014B0001049,Birth,01/01/2014,Female
78,2014B0001056,Birth,01/01/2014,Female
79,2014B0001059,Birth,01/01/2014,Female
80,2014B0001060,Birth,01/01/2014,Female
81,2014B0001061,Birth,01/01/2014,Male
82,2014B0001062,Birth,01/01/2014,Female
83,2014B0001064,Birth,01/01/2014,Female
84,2014B0001022,Birth,01/01/2014,Female
85,2014B0001025,Birth,01/01/2014,Male
86,2014B0001027,Birth,01/01/2014,Male
87,2014B0001029,Birth,01/01/2014,Male
88,2014B0001031,Birth,01/01/2014,Female
89,2014B0001106,Birth,01/01/2014,Male
90,2014B0001177,Birth,01/01/2014,Male
91,2014B0001183,Birth,01/01/2014,Male
92,2014B0001234,Birth,01/01/2014,Female
93,2014B0001237,Birth,01/01/2014,Female
94,2014B0001253,Birth,01/01/2014,Male
95,2014B0001255,Birth,01/01/2014,Female
96,2014B0001294,Birth,01/01/2014,Female
97,2014B0001309,Birth,01/01/2014,Female
98,2014B0001314,Birth,01/01/2014,Female
99,2014B0001318,Birth,01/01/2014,Female
100,2014B0001336,Birth,01/01/2014,Female
101,2014B0001341,Birth,01/01/2014,Female
102,2014B0001345,Birth,01/01/2014,Male
103,2014B0001450,Birth,01/01/2014,Male
104,2014B0001506,Birth,01/01/2014,Male
105,2014B0001507,Birth,01/01/2014,Male
106,2014B0001557,Birth,01/01/2014,Female
107,2014B0001565,Birth,01/01/2014,Female
108,2014B0001566,Birth,01/01/2014,Male
109,2014B0001568,Birth,01/01/2014,Female
110,2014B0001570,Birth,01/01/2014,Male
111,2014B0001676,Birth,01/01/2014,Male
112,2014B0001677,Birth,01/01/2014,Female
113,2014B0001680,Birth,01/01/2014,Male
114,2014B0001692,Birth,01/01/2014,Male
115,2014B0009030,Birth,01/01/2014,Male
116,2014D0000547,Death,01/01/2014,Female
117,2014D0000549,Death,01/01/2014,Female
118,2014D0000588,Death,01/01/2014,Male
