Sr. No.,Registration No,Type,Date Of Event,Gender
1,2015B0000136,Birth,01/01/2015,Female
2,2015B0000027,Birth,01/01/2015,Male
3,2015B0000031,Birth,01/01/2015,Male
4,2015B0000047,Birth,01/01/2015,Female
5,2015B0000165,Birth,01/01/2015,Female
6,2015B0000237,Birth,01/01/2015,Male
7,2015B0000238,Birth,01/01/2015,Female
8,2015B0000239,Birth,01/01/2015,Male
9,2015B0000282,Birth,01/01/2015,Male
10,2015B0000283,Birth,01/01/2015,Female
11,2015B0000284,Birth,01/01/2015,Male
12,2015B0000285,Birth,01/01/2015,Female
13,2015B0000286,Birth,01/01/2015,Female
14,2015B0000311,Birth,01/01/2015,Male
15,2015B0000312,Birth,01/01/2015,Female
16,2015B0000322,Birth,01/01/2015,Female
17,2015B0000339,Birth,01/01/2015,Female
18,2015B0000578,Birth,01/01/2015,Male
19,2015B0000583,Birth,01/01/2015,Male
20,2015B0000584,Birth,01/01/2015,Male
21,2015B0000588,Birth,01/01/2015,Male
22,2015B0000623,Birth,01/01/2015,Male
23,2015B0000670,Birth,01/01/2015,Male
24,2015B0000681,Birth,01/01/2015,Female
25,2015B0000689,Birth,01/01/2015,Female
26,2015B0000712,Birth,01/01/2015,Female
27,2015B0000739,Birth,01/01/2015,Male
28,2015B0004148,Birth,01/01/2015,Male
29,2015B0004452,Birth,01/01/2015,Male
30,2015B0004455,Birth,01/01/2015,Male
31,2015B0004460,Birth,01/01/2015,Female
32,2015B0013246,Birth,01/01/2015,Female
33,2015B0036543,Birth,01/01/2015,Female
34,2016B0000782,Birth,01/01/2015,Male
35,2016B0000796,Birth,01/01/2015,Male
36,2016B0000813,Birth,01/01/2015,Male
37,2016B0010419,Birth,01/01/2015,Male
38,2015D0000014,Death,01/01/2015,Male
39,2015D0000017,Death,01/01/2015,Male
40,2015D0000018,Death,01/01/2015,Male
41,2015D0000019,Death,01/01/2015,Female
42,2015D0000020,Death,01/01/2015,Male
43,2015D0000021,Death,01/01/2015,Female
44,2015D0000023,Death,01/01/2015,Male
45,2015D0000024,Death,01/01/2015,Male
46,2015D0000025,Death,01/01/2015,Female
47,2015D0000026,Death,01/01/2015,Female
48,2015D0000027,Death,01/01/2015,Male
49,2015D0000028,Death,01/01/2015,Male
50,2015D0000029,Death,01/01/2015,Female
51,2015D0000030,Death,01/01/2015,Male
52,2015D0000031,Death,01/01/2015,Male
53,2015D0000032,Death,01/01/2015,Male
54,2015D0000033,Death,01/01/2015,Male
55,2015D0000034,Death,01/01/2015,Female
56,2015D0000035,Death,01/01/2015,Male
57,2015D0000036,Death,01/01/2015,Male
58,2015D0000038,Death,01/01/2015,Male
59,2015D0000039,Death,01/01/2015,Male
60,2015D0000043,Death,01/01/2015,Male
61,2015D0000050,Death,01/01/2015,Female
62,2015D0000051,Death,01/01/2015,Male
63,2015D0000052,Death,01/01/2015,Male
64,2015D0000053,Death,01/01/2015,Female
65,2015D0000055,Death,01/01/2015,Male
66,2015D0000056,Death,01/01/2015,Female
67,2015D0000057,Death,01/01/2015,Male
68,2015D0000058,Death,01/01/2015,Male
69,2015D0000059,Death,01/01/2015,Female
70,2015D0000060,Death,01/01/2015,Male
71,2015D0000061,Death,01/01/2015,Female
72,2015D0000077,Death,01/01/2015,Male
73,2015D0000131,Death,01/01/2015,Male
74,2015D0000132,Death,01/01/2015,Male
75,2015D0000133,Death,01/01/2015,Male
76,2015D0000128,Death,01/01/2015,Female
77,2015D0000129,Death,01/01/2015,Male
78,2015D0000138,Death,01/01/2015,Male
79,2015D0000168,Death,01/01/2015,Male
80,2015D0000176,Death,01/01/2015,Male
81,2015D0000140,Death,01/01/2015,Female
82,2015D0000141,Death,01/01/2015,Male
83,2015D0000164,Death,01/01/2015,Female
84,2015D0000232,Death,01/01/2015,Male
85,2015D0000233,Death,01/01/2015,Male
86,2015D0000239,Death,01/01/2015,Male
87,2015D0000240,Death,01/01/2015,Male
88,2015D0000241,Death,01/01/2015,Female
89,2015D0000244,Death,01/01/2015,Female
90,2015D0000245,Death,01/01/2015,Female
91,2015D0000248,Death,01/01/2015,Female
92,2015D0000300,Death,01/01/2015,Male
93,2015D0000316,Death,01/01/2015,Male
94,2015D0000344,Death,01/01/2015,Female
95,2015D0000348,Death,01/01/2015,Male
96,2015D0000354,Death,01/01/2015,Female
97,2015D0000329,Death,01/01/2015,Male
98,2015D0000441,Death,01/01/2015,Male
99,2015D0000443,Death,01/01/2015,Male
100,2015D0000452,Death,01/01/2015,Male
101,2015D0000454,Death,01/01/2015,Female
102,2015D0000456,Death,01/01/2015,Male
103,2015D0000458,Death,01/01/2015,Female
104,2015D0000465,Death,01/01/2015,Male
105,2015D0000486,Death,01/01/2015,Female
106,2015D0000489,Death,01/01/2015,Female
107,2015D0000522,Death,01/01/2015,Male
108,2015D0000531,Death,01/01/2015,Female
109,2015D0000532,Death,01/01/2015,Female
110,2015D0000505,Death,01/01/2015,Male
111,2015D0000506,Death,01/01/2015,Male
112,2015D0000547,Death,01/01/2015,Female
113,2015D0000558,Death,01/01/2015,Male
114,2015D0000559,Death,01/01/2015,Male
115,2015D0000593,Death,01/01/2015,Female
116,2015D0000594,Death,01/01/2015,Female
117,2015D0000595,Death,01/01/2015,Male
118,2015B0000793,Birth,01/01/2015,Male
119,2015B0000818,Birth,01/01/2015,Female
120,2015B0000868,Birth,01/01/2015,Female
121,2015B0000908,Birth,01/01/2015,Female
